timestamp,volume
1720004813314,25329561960.710705
1720008622841,26311336094.688297
1720012227767,27245527274.976482
1720015357903,27314306843.492767
1720019116910,26385955948.7706
1720022579727,27045910705.666977
1720026687941,27733295707.377926
1720029981455,27913352958.87564
1720033568389,27775723187.180992
1720037437963,28663278715.510838
1720040490281,26905753275.702103
1720044623374,30090581488.54869
1720048081617,30303593677.95991
1720051731868,30392404224.147316
1720054958125,29597489227.607216
1720059091716,33355660297.44243
1720062541076,34568522100.55703
1720065766174,30030137469.694584
1720069890724,34697847680.58823
1720073257267,34267045778.781162
1720076869662,35554723505.66818
1720080151123,36502468696.244316
1720083927772,38437561471.82301
1720087287030,37327670681.05015
1720091249284,36240349459.75345
1720094773930,37797064232.87431
1720098226042,39042026261.00258
1720101931314,40600009646.92142
1720105428590,38350081112.61704
1720109051489,42338373282.42858
1720112990362,42315783819.130844
1720116090623,39061810747.378815
1720119644727,39520829529.8329
1720123267353,42621517496.50553
1720127100191,41977450837.78143
1720130569352,28675967398.414318
1720134331679,41779082608.45783
1720138083254,43785056555.930504
1720141835352,42466189272.685394
1720145203367,44308650186.92098
1720148756742,37528463205.16738
1720152175198,43800003817.65339
1720155638860,48231753570.83921
1720159389260,49584943125.39
1720163279741,55232840698.705505
1720166574475,51836557158.559944
1720170603048,53574302682.48981
1720173723491,53321087738.732994
1720177815176,54036307021.756676
1720180906091,51271942782.90713
1720184864096,57467708943.228325
1720188405460,56498331447.41799
1720192168920,57443428812.37593
1720195518173,58083333526.73558
1720199027930,55924245854.51026
1720202921222,60784512507.67495
1720206232933,61596173419.13838
1720209668843,60784668274.98865
1720213736403,62055662488.86088
1720216841274,62181942691.86496
1720221001932,61399786262.508514
1720224277161,60093024057.19495
1720227807251,53370409790.01048
1720231695167,52299458001.57686
1720235283163,53484469100.25505
1720238566685,46129432396.92062
1720242669734,44381456055.63612
1720245853533,43161206010.62605
1720249737558,41137472175.15574
1720253400493,39129847490.005226
1720256465288,35819381748.16882
1720260646378,36829061437.47942
1720263694650,27863704120.414154
1720267409122,30147895800.20986
1720271047823,30159825025.87499
1720274713819,28407783122.624672
1720278101419,25305070239.899986
1720281745467,25448997535.438812
1720285545600,22362232775.659912
1720289378468,21606880030.98832
1720292725418,15872601467.747604
1720296113571,21415409220.79189
1720299698531,21111094972.65006
1720303252289,19624979409.6278
1720307320525,19503549422.767456
1720310700058,19881710912.92408
1720314263205,20612308105.813934
1720318064365,20122046441.08164
1720321538816,20142143470.897156
1720325288217,18029030340.313602
1720328576333,21071307837.373722
1720332089147,21007046219.494957
1720336032674,20545728951.77947
1720339675557,20994997475.935192
1720343312264,18627632745.504944
1720346872807,20878402457.10481
1720350266259,20573719490.619377
1720354067903,20773838537.881397
1720357565450,20696696327.57899
1720361328625,21012748346.32637
1720364919068,21204263016.706238
1720368542967,15368772225.439892
1720371713380,19547631665.833138
1720375306842,19577352716.160576
1720379446759,19497602240.27211
1720383124192,19296555716.536892
1720386096649,19075392042.2138
1720390176537,19862428308.776398
1720393696557,18546068056.34126
1720397381513,20693720369.153324
1720400867667,22209771066.763905
1720404573949,25407825221.260754
1720407905174,26054867163.62536
1720411709725,25665659234.904297
1720415326003,26295431784.155445
1720418996571,24716385867.655582
1720422686913,25084847748.468353
1720425767435,24923428946.165714
1720429434632,24979797727.23587
1720432826546,32324463188.23584
1720436975831,33984720162.550488
1720440046474,15830792483.386812
1720443922997,32376071122.792248
1720447869981,34331469764.93741
1720451310189,38840091724.50182
1720454879771,40238977158.31032
1720458199880,40660652314.8827
1720461990973,38919499489.49153
1720465687699,38668550632.3438
1720469326617,42537556960.15235
1720473109913,42908929431.147255
1720476670054,39766995666.22894
1720480284068,42371815518.2463
1720483894787,37441905810.69542
1720487534503,39309731313.63662
1720491123680,37979977002.13737
1720494104520,37613110738.786285
1720497628293,37562925735.99353
1720501369184,37234378728.55422
1720505318831,36897245420.07219
1720509216466,36877298833.575874
1720512165437,37239269304.039856
1720515692965,35576564385.16454
1720519672904,33606807103.074783
1720523264802,32525791873.917534
1720526526367,29455053720.80144
1720530316148,32094428450.089878
1720533784544,31626824143.445915
1720537790802,27141516280.562016
1720541012067,28626917822.627403
1720544985995,26495494325.058475
1720548537178,28249444830.615147
1720552079268,28815516445.62619
1720555956111,15476317992.078873
1720559345172,20651818252.200245
1720562623757,26077100666.09322
1720566058081,25414424297.45084
1720569828078,28449155212.757774
1720573471632,28238384297.58044
1720577081605,27491769151.93829
1720580504311,27983699299.300293
1720584544032,27927685058.113228
1720588001963,26768156523.71527
1720591421274,29941499082.062366
1720595193457,29415859366.51404
1720598433438,28936121533.02412
1720602569956,27024228817.077374
1720606157667,27665126495.100067
1720609850368,27441225635.84438
1720613017925,26221706639.057293
1720616983767,28729558946.005924
1720620364755,29246791996.590996
1720624136193,27729421189.817776
1720627770562,27710838668.454292
1720630902217,27279841130.96258
1720635088468,27396717118.476093
1720638055571,26592304218.831882
1720642122610,23786047880.766598
1720645328672,24092176871.28133
1720648828434,24537343036.592693
1720653048341,26431410858.163
1720656718571,26116004979.33151
1720660041495,26423378114.577995
1720663701765,26521451789.062904
1720667397296,23859843591.811596
1720670542530,25248597119.887817
1720674020044,25657521119.261734
1720678101053,25449025806.088516
1720681560240,23628279288.77483
1720685283601,25482492314.735348
1720688996078,25249932360.83761
1720692079534,25196778571.572945
1720696308246,24964042508.700306
1720699447742,24198708687.912743
1720702862798,25567540182.084465
1720706880875,27317083809.271637
1720710567406,28652187542.31549
1720713864820,27458191544.185314
1720717341005,28872460732.106155
